studentId,classId,decision,reason,status,termStart,termEnd,documentId
4zrjwl0BmCiwpPEa8qE2,KrranixViHUAu0AGnohg,create,SAFE_CURRENT_ENROLLMENT,active,2026-07-04,2026-08-23,WyI0enJqd2wwQm1DaXdwUEVhOHFFMiIsIktycmFuaXhWaUhVQXUwQUdub2hnIiwiMjAyNi0wNy0wNCJd
55OuJNC46KVVPhK7zNo5,fLTQJCJuhG9JhJZBJxYb,create,SAFE_CURRENT_ENROLLMENT,active,2026-07-06,2026-08-26,WyI1NU91Sk5DNDZLVlZQaEs3ek5vNSIsImZMVFFKQ0p1aEc5SmhKWkJKeFliIiwiMjAyNi0wNy0wNiJd
5g9pL8su6oTJPP8b9aPu,ScflKHWUpRh4aVD7zCXr,create,SAFE_CURRENT_ENROLLMENT,on_leave,2026-07-20,2026-09-13,WyI1ZzlwTDhzdTZvVEpQUDhiOWFQdSIsIlNjZmxLSFdVcFJoNGFWRDd6Q1hyIiwiMjAyNi0wNy0yMCJd
5LTWWEdCEbECG1WFb1Gh,NQ1K3m1shKBZJSVegPme,exclude,EXISTING_ENROLLMENT,,,,
5mSP1ErrDILWT5dJ1Wzr,bfKk4jq9TBB9vlnB4TjH,create,SAFE_CURRENT_ENROLLMENT,active,2026-07-10,2026-09-04,WyI1bVNQMUVyckRJTFdUNWRKMVd6ciIsImJmS2s0anE5VEJCOXZsbkI0VGpIIiwiMjAyNi0wNy0xMCJd
5N6iIBkAbBs1G4GvI1BU,2GIu9f1T94IoMFu7F6Ye,exclude,NON_CURRENT_STATUS,,,,
5rffxIYNu35fguR12cU5,mxZlZe2CtUrOvjYhuwvi,create,SAFE_CURRENT_ENROLLMENT,active,2026-06-22,2026-08-16,WyI1cmZmeElZTnUzNWZndVIxMmNVNSIsIm14WmxaZTJDdFVyT3ZqWWh1d3ZpIiwiMjAyNi0wNi0yMiJd
5rMA7XnWjzg86WWfn628,WTZAYh5srIEDgPEDjzwn,exclude,EXISTING_ENROLLMENT,,,,
5XA1G6yd2epMIadEAzZc,DRjcUgJIng8OdUMVof8X,create,SAFE_CURRENT_ENROLLMENT,active,2026-07-11,2026-08-30,WyI1WEExRzZ5ZDJlcE1JYWRFQXpaYyIsIkRSamNVZ0pJbmc4T2RVTVZvZjhYIiwiMjAyNi0wNy0xMSJd
5yEU1FnVHE7YQOZWm9So,7Fxj71SvCY5SSGACTZ8C,exclude,EXISTING_ENROLLMENT,,,,
62uJX1WROrqjSyjjby1I,8gRFsTVLErsXTi2DbRyD,exclude,EXISTING_ENROLLMENT,,,,
6Clv6uLDmTtEtUSXOffB,MbEjkY4bZPvUt9ykRpPu,exclude,ENDED_CLASS,,,,
6JjZgRq7m8lrC55gqLLo,ERCRTO9edy422YC37xiy,create,SAFE_CURRENT_ENROLLMENT,active,2026-07-11,2026-08-30,WyI2SmpaZ1JxN204bHJDNTVncUxMbyIsIkVSQ1JUTzllZHk0MjJZQzM3eGl5IiwiMjAyNi0wNy0xMSJd
6L1bkGMikDsNzWt07vSP,6GmA0pfCfbyeUmHYcT2D,exclude,NON_CURRENT_STATUS,,,,
6mR5Q0Eioe9Xb4XkheV5,AnxnD92cSGEYTMqhNFw5,create,SAFE_CURRENT_ENROLLMENT,active,2026-07-22,2026-09-16,WyI2bVI1UTBFaW9lOVhiNFhraGVWNSIsIkFueG5EOTJjU0dFWVRNcWhORnc1IiwiMjAyNi0wNy0yMiJd
6QBY4mOjJvXAuq0F14T9,XXTe0dcLydenBbhXkIHF,create,SAFE_CURRENT_ENROLLMENT,active,2026-06-20,2026-08-09,WyI2UUJZNG1Pakp2WEF1cTBGMTRUOSIsIlhYVGUwZGNMeWRlbkJiaFhrSUhGIiwiMjAyNi0wNi0yMCJd
6t7ZYYQW67omwe9uePSB,KrranixViHUAu0AGnohg,create,SAFE_CURRENT_ENROLLMENT,active,2026-07-04,2026-08-23,WyI2dDdaWVlRVzY3b213ZTl1ZVBTQiIsIktycmFuaXhWaUhVQXUwQUdub2hnIiwiMjAyNi0wNy0wNCJd
6udByP6VWLVjjEP3Vc5v,PVSYXAXaSz9rqGa5MFFw,create,SAFE_CURRENT_ENROLLMENT,on_leave,2026-07-15,2026-09-09,WyI2dWRCeVA2VldMVmpqRVAzVmM1diIsIlBWU1lYQVhhU3o5cnFHYTVNRkZ3IiwiMjAyNi0wNy0xNSJd
6v0v25C3GmZWt6EeHnpP,71GVOT1409eW8tTLpPuE,exclude,EXISTING_ENROLLMENT,,,,
6YPUMQNPR55GstW7sXtU,YEGhVcj27boYOrEf2iSE,exclude,NON_CURRENT_STATUS,,,,
70tZE5Q6fLHvOWeRq8CI,DPZ0ENoAC52canMi03Dr,create,SAFE_CURRENT_ENROLLMENT,active,2026-07-12,2026-09-05,WyI3MHRaRTVRNmZMSHZPV2VScThDSSIsIkRQWjBFTm9BQzUyY2FuTWkwM0RyIiwiMjAyNi0wNy0xMiJd
74drlA8gP91rNyfQQ77Y,aoaDsr3lgBvSj211VCkJ,exclude,EXISTING_ENROLLMENT,,,,
75bstvOMKvxaUDx5RLgI,VWLk5yClGPg6muM1vBXa,create,SAFE_CURRENT_ENROLLMENT,active,2026-06-30,2026-08-20,WyI3NWJzdHZPTUt2eGFVRHg1UkxnSSIsIlZXTGs1eUNsR1BnNm11TTF2QlhhIiwiMjAyNi0wNi0zMCJd
7aqIXfv2MgoyKAO8PQWK,tGtoavV6esqgyuTMKVUf,create,SAFE_CURRENT_ENROLLMENT,active,2026-07-05,2026-08-29,WyI3YXFJWGZ2Mk1nb3lLQU84UFFXSyIsInRHdG9hdlY2ZXNxZ3l1VE1LVlVmIiwiMjAyNi0wNy0wNSJd
7iBEDKZA69FEDZR3wX6N,Z8oeO9IN5H3lsV6IOAoH,exclude,NON_CURRENT_STATUS,,,,
7kImoy6B0B5frTLG4d2v,FigsTfwBAQzGlLBxfU2u,exclude,EXISTING_ENROLLMENT,,,,
7KQIbDC9FhJrkg3E1OkO,eIcP0Zb20aitPkMA9uFs,exclude,EXISTING_ENROLLMENT,,,,
7PNAFCY0OIfProO7VZx2,XXTe0dcLydenBbhXkIHF,create,SAFE_CURRENT_ENROLLMENT,active,2026-06-20,2026-08-09,WyI3UE5BRkNZME9JZlByb083Vlp4MiIsIlhYVGUwZGNMeWRlbkJiaFhrSUhGIiwiMjAyNi0wNi0yMCJd
